,route_id,ROUTE,stop_order_on_route,ROUTE_norm_explicit,ROUTE_norm_expanded,stop_id_mapped,match_method,matched_stop_name_in_gdf,fuzz_ratio_score,fuzz_wratio_score
0,401,Parkmore Rd (Roundabout),0,parkmore rd (roundabout),parkmore road roundabout,8460B555431,Fuzzy Expanded Name (WRatio: 90),Parkmore Road,70.0,90.0
1,401,Ballybrit RC,1,ballybrit rc,ballybrit rc,8460B5234401,"Exact Expanded Name (Multiple GDF matches, took first)",Ballybrit RC,100.0,100.0
2,401,Parkmore Rd (Opp Western Motors Entr),2,parkmore rd (opp western motors entr),parkmore road opposite western motors entr,8460B555431,Fuzzy Expanded Name (WRatio: 90),Parkmore Road,47.0,90.0
3,401,Monivea Rd (Opp Clayton Hotel),3,monivea rd (opp clayton hotel),monivea road opposite clayton hotel,8460B5234601,Fuzzy Expanded Name (WRatio: 90),Clayton Hotel,54.0,90.0
4,401,Monivea Rd (Paddocks),4,monivea rd (paddocks),monivea road paddocks,8460B5203201,Fuzzy Expanded Name (WRatio: 90),Monivea Road,73.0,90.0
5,401,Monivea Rd (Ballybrit Heights),5,monivea rd (ballybrit heights),monivea road ballybrit heights,8460B5234801,Fuzzy Expanded Name (WRatio: 90),Ballybrit Heights,72.0,90.0
6,401,Ballybrit Ind Est,6,ballybrit ind est,ballybrit industrial estate,8460B5234901,"Exact Expanded Name (Multiple GDF matches, took first)",Ballybrit Industrial Estate,100.0,100.0
7,401,Castlepark Rd (Glenavon Drive),7,castlepark rd (glenavon drive),castlepark road glenavon drive,8460B5235001,Fuzzy Expanded Name (WRatio: 90),Castlepark Road,67.0,90.0
8,401,Castlepark Rd (Gortcam),8,castlepark rd (gortcam),castlepark road gortcam,8460B5235001,Fuzzy Expanded Name (WRatio: 90),Castlepark Road,79.0,90.0
9,401,Castlepark Rd (Sliabh Rua),9,castlepark rd (sliabh rua),castlepark road sliabh rua,8460B5235001,Fuzzy Expanded Name (WRatio: 90),Castlepark Road,73.0,90.0
10,401,Castlepark Rd (Community Centre),10,castlepark rd (community centre),castlepark road community centre,8460B5235001,Fuzzy Expanded Name (WRatio: 90),Castlepark Road,64.0,90.0
11,401,Ballybane Rd (John Paul Centre),11,ballybane rd (john paul centre),ballybane road john paul centre,8460B5235601,Token Overlap Match (Score: 2),Ballybane Centre,,
12,401,Ballybane Rd (St James Rd),12,ballybane rd (st james rd),ballybane road street james road,8460B5258501,Fuzzy Expanded Name (WRatio: 90),St James Road,69.0,90.0
13,401,Ballybane Rd (Shopping Centre),13,ballybane rd (shopping centre),ballybane road shopping centre,8460B5235601,Token Overlap Match (Score: 2),Ballybane Centre,,
14,401,Monivea Rd (Monivea Park),14,monivea rd (monivea park),monivea road monivea park,8460B5235801,Fuzzy Expanded Name (WRatio: 90),Monivea Park,65.0,90.0
15,401,McDonagh Ave (Old Mervue),15,mcdonagh ave (old mervue),mcdonagh avenue old mervue,8460B5227601,Token Overlap Match (Score: 1),Rowan Avenue,,
16,401,Monivea Rd (Opp Crown Plaza),16,monivea rd (opp crown plaza),monivea road opposite crown plaza,8460B5203201,Fuzzy Expanded Name (WRatio: 90),Monivea Road,53.0,90.0
17,401,ATU Galway Cluain Mhuire,17,atu galway cluain mhuire,atu galway cluain mhuire,8460B5236501,Exact Expanded Name,ATU Galway Cluain Mhuire,100.0,100.0
18,401,Monivea Rd (Wellpark Retail Est),18,monivea rd (wellpark retail est),monivea road wellpark retail est,8460B5236601,Fuzzy Expanded Name (WRatio: 90),Wellpark Retail,64.0,90.0
19,401,College Rd Galway (Opp Loyola Pk),19,college rd galway (opp loyola pk),college road galway opposite loyola pk,8460B5232301,Fuzzy Expanded Name (WRatio: 90),College Road,48.0,90.0
20,401,College Rd Galway (Opp Sportsground),20,college rd galway (opp sportsground),college road galway opposite sportsground,8460B5232301,Fuzzy Expanded Name (WRatio: 90),College Road,45.0,90.0
21,401,College Rd Galway (Opp City Hall),21,college rd galway (opp city hall),college road galway opposite city hall,8460B5232301,Fuzzy Expanded Name (WRatio: 90),College Road,48.0,90.0
22,401,Forster St (Morgans Hotel),22,forster st (morgans hotel),forster street morgans hotel,8460B5243601,Fuzzy Expanded Name (WRatio: 90),Forster Street,67.0,90.0
23,401,Eyre Square South (Stop No 9)ARR. DEP.,23,eyre square south (stop no 9)arr. dep.,eyre square south stop no 9 arr. dep.,8460B522331,Fuzzy Expanded Name (WRatio: 90),Eyre Square,46.0,90.0
24,401,Spanish Parade (Spanish Arch),24,spanish parade (spanish arch),spanish parade spanish arch,8460B5220101,Fuzzy Expanded Name (WRatio: 90),Spanish Arch,62.0,90.0
25,401,Fr Griffin Rd (Opp Fr Griffin Park),25,fr griffin rd (opp fr griffin park),fr griffin road opposite fr griffin park,8460B5220201,Fuzzy Expanded Name (WRatio: 90),Fr Griffin Road,55.0,90.0
26,401,Fr Griffin Ave (Opp Sea Road),26,fr griffin ave (opp sea road),fr griffin avenue opposite sea road,8460B5220301,Fuzzy Expanded Name (WRatio: 90),Fr Griffin Avenue,65.0,90.0
27,401,Salthill Rd Lwr (Lios Ealtan),27,salthill rd lwr (lios ealtan),salthill road lower lios ealtan,8460B5220601,Fuzzy Expanded Name (WRatio: 90),Lios Ealtan,52.0,90.0
28,401,Salthill Rd Lwr (St Josephs),28,salthill rd lwr (st josephs),salthill road lower street josephs,8460B5220701,Fuzzy Expanded Name (WRatio: 90),Salthill Road Lower,72.0,90.0
29,401,Salthill Rd Lwr (Opp Devon Park),29,salthill rd lwr (opp devon park),salthill road lower opposite devon park,8460B5220701,Fuzzy Expanded Name (WRatio: 90),Salthill Road Lower,66.0,90.0
30,401,Salthill Rd Lwr (Opp Warwick Hotel),30,salthill rd lwr (opp warwick hotel),salthill road lower opposite warwick hotel,8460B5220701,Fuzzy Expanded Name (WRatio: 90),Salthill Road Lower,62.0,90.0
31,401,Upper Salthill Rd (Canton Kitchen),31,upper salthill rd (canton kitchen),upper salthill road canton kitchen,8460B5220701,Token Overlap Match (Score: 2),Salthill Road Lower,,
32,401,Upper Salthill Rd (Opp Western House),32,upper salthill rd (opp western house),upper salthill road opposite western house,8460B5220701,Token Overlap Match (Score: 2),Salthill Road Lower,,
33,401,Dalysfort Rd (Top of Hill),33,dalysfort rd (top of hill),dalysfort road top of hill,8460B5221201,Fuzzy Expanded Name (WRatio: 90),Dalysfort Road,70.0,90.0
34,401,Dalysfort Rd (Hollands Shop),34,dalysfort rd (hollands shop),dalysfort road hollands shop,8460B5221201,Fuzzy Expanded Name (WRatio: 90),Dalysfort Road,67.0,90.0
35,401,Dalysfort Rd (Dr Mannix Rd Jctn),35,dalysfort rd (dr mannix rd jctn),dalysfort road dr mannix road jctn,8460B5221201,Fuzzy Expanded Name (WRatio: 90),Dalysfort Road,58.0,90.0
36,401,Dr Mannix Rd (Rockbarton Rd),36,dr mannix rd (rockbarton rd),dr mannix road rockbarton road,8460B5223701,Token Overlap Match (Score: 1),Barna Road,,
37,402,Shangort Rd (Cotters Shop),0,shangort rd (cotters shop),shangort road cotters shop,8460B5231601,Fuzzy Expanded Name (WRatio: 90),Shangort Road,67.0,90.0
38,402,Shangort Rd (Church),1,shangort rd (church),shangort road church,8460B5231601,Fuzzy Expanded Name (WRatio: 90),Shangort Road,79.0,90.0
39,402,Ballymoneen Rd (Barna Rd Jctn),2,ballymoneen rd (barna rd jctn),ballymoneen road barna road jctn,8460B5223701,Fuzzy Expanded Name (WRatio: 90),Barna Road,48.0,90.0
40,402,Barna Road (Knocknacarra Cross),3,barna road (knocknacarra cross),barna road knocknacarra cross,8460B5223701,Fuzzy Expanded Name (WRatio: 90),Barna Road,51.0,90.0
41,402,Knocknacarra (Topaz Filling Stat),4,knocknacarra (topaz filling stat),knocknacarra topaz filling stat,8460B5223801,Fuzzy Expanded Name (WRatio: 90),Knocknacarra,56.0,90.0
42,402,Knocknacarra Rd (Burren View Hts),5,knocknacarra rd (burren view hts),knocknacarra road burren view hts,8460B5223801,Fuzzy Expanded Name (WRatio: 90),Knocknacarra,53.0,90.0
43,402,Knocknacarra Rd (Opp Woodlawn),6,knocknacarra rd (opp woodlawn),knocknacarra road opposite woodlawn,8460B5223801,Fuzzy Expanded Name (WRatio: 90),Knocknacarra,51.0,90.0
44,402,Kingston Rd (Kingston Gardens),7,kingston rd (kingston gardens),kingston road kingston gardens,8460B5224101,Fuzzy Expanded Name (WRatio: 90),Kingston Road,60.0,90.0
45,402,Kingston Rd (Manor Drive),8,kingston rd (manor drive),kingston road manor drive,8460B5224101,Fuzzy Expanded Name (WRatio: 90),Kingston Road,68.0,90.0
46,402,Taylors Hill Rd (Threadneedle Junct),9,taylors hill rd (threadneedle junct),taylors hill road threadneedle junct,8460B5224301,Token Overlap Match (Score: 2),Taylor's Hill Road,,
47,402,Taylors Hill Rd (Opp Ardmore),10,taylors hill rd (opp ardmore),taylors hill road opposite ardmore,8460B5224401,Fuzzy Expanded Name (WRatio: 90),Ardmore,34.0,90.0
48,402,Taylors Hill Rd (Highfield Park),11,taylors hill rd (highfield park),taylors hill road highfield park,8460B5224301,Token Overlap Match (Score: 2),Taylor's Hill Road,,
49,402,Taylors Hill Rd (Opp St Annes),12,taylors hill rd (opp st annes),taylors hill road opposite street annes,8460B5258501,Token Overlap Match (Score: 2),St James Road,,
50,402,Maunsells Rd (Opp Maunsells Rd Jct),13,maunsells rd (opp maunsells rd jct),maunsells road opposite maunsells road jct,8460B5224901,Fuzzy Expanded Name (WRatio: 90),Maunsells Road,50.0,90.0
51,402,Maunsells Rd (Higgins DIY),14,maunsells rd (higgins diy),maunsells road higgins diy,8460B5224901,Fuzzy Expanded Name (WRatio: 90),Maunsells Road,70.0,90.0
52,402,Colmcille Rd (Scoil Bride),15,colmcille rd (scoil bride),colmcille road scoil bride,8460B5230701,Fuzzy Expanded Name (WRatio: 90),Colmcille Road,70.0,90.0
53,402,Colmcille Rd (Opp Community Centre),16,colmcille rd (opp community centre),colmcille road opposite community centre,8460B5230701,Fuzzy Expanded Name (WRatio: 90),Colmcille Road,52.0,90.0
54,402,Costello Rd (Opp McDara Rd),17,costello rd (opp mcdara rd),costello road opposite mcdara road,8460B5225301,Fuzzy Expanded Name (WRatio: 90),McDara Road,49.0,90.0
55,402,Costello Rd (HSE Clinic),18,costello rd (hse clinic),costello road hse clinic,8460B5225401,Fuzzy Expanded Name (WRatio: 90),HSE Clinic,59.0,90.0
56,402,Newcastle Rd (University Hospital),19,newcastle rd (university hospital),newcastle road university hospital,8460B5225501,Token Overlap Match (Score: 2),Lower Newcastle Road,,
57,402,University Of Galway,20,university of galway,university of galway,8460B5225601,Token Overlap Match (Score: 2),Uni of Galway,,
58,402,University Rd (Opp Cathedral),21,university rd (opp cathedral),university road opposite cathedral,8460B5223701,Token Overlap Match (Score: 1),Barna Road,,
59,402,Francis St (Opp Abbey Church),22,francis st (opp abbey church),francis street opposite abbey church,8460B5230201,Fuzzy Expanded Name (WRatio: 90),Francis Street,56.0,90.0
60,402,Eyre Square North (Stop No 1)ARR. DEP.,23,eyre square north (stop no 1)arr. dep.,eyre square north stop no 1 arr. dep.,8460B522331,Fuzzy Expanded Name (WRatio: 90),Eyre Square,46.0,90.0
61,402,Prospect Hill (Fahys Pub),24,prospect hill (fahys pub),prospect hill fahys pub,8460B5226201,Fuzzy Expanded Name (WRatio: 90),Prospect Hill,72.0,90.0
62,402,Bohermore (Opp Tonerys Pub),25,bohermore (opp tonerys pub),bohermore opposite tonerys pub,8460B5226301,Fuzzy Expanded Name (WRatio: 90),Bohermore,46.0,90.0
63,402,Bohermore (Liam Mellows Tce),26,bohermore (liam mellows tce),bohermore liam mellows tce,8460B5226301,Fuzzy Expanded Name (WRatio: 90),Bohermore,51.0,90.0
64,402,Bohermore (Spar Filling Station),27,bohermore (spar filling station),bohermore spar filling station,8460B5226301,Fuzzy Expanded Name (WRatio: 90),Bohermore,46.0,90.0
65,402,Dublin Rd (G Hotel),28,dublin rd (g hotel),dublin road g hotel,8460B5226901,Token Overlap Match (Score: 2),The G Hotel,,
66,402,Dublin Rd (Opp Renmore Park),29,dublin rd (opp renmore park),dublin road opposite renmore park,8460B5227001,Fuzzy Expanded Name (WRatio: 90),Renmore Park,53.0,90.0
67,402,Renmore Rd (Bon Secours Hosp),30,renmore rd (bon secours hosp),renmore road bon secours hosp,8460B5227101,Token Overlap Match (Score: 2),Bon Secours Hospital,,
68,402,Renmore Rd (Opp Molloys Centra),31,renmore rd (opp molloys centra),renmore road opposite molloys centra,8460B5223701,Token Overlap Match (Score: 1),Barna Road,,
69,402,Renmore Rd (Dun Na Mara),32,renmore rd (dun na mara),renmore road dun na mara,8460B5227301,Fuzzy Expanded Name (WRatio: 90),Dun Na Mara,63.0,90.0
70,402,Renmore Rd (Opp Army Barracks),33,renmore rd (opp army barracks),renmore road opposite army barracks,8460B5227401,Token Overlap Match (Score: 2),Galway Army Barracks,,
71,402,Hawthorne Drive (Blackthorn Pk),34,hawthorne drive (blackthorn pk),hawthorne drive blackthorn pk,8460B5224201,Token Overlap Match (Score: 1),Manor Drive,,
72,402,Hawthorn Drive (Rowan Ave),35,hawthorn drive (rowan ave),hawthorn drive rowan avenue,8460B5227501,Fuzzy Expanded Name (WRatio: 90),Hawthorn Drive,68.0,90.0
73,402,Fuschia Drive (Larchfield Ave),36,fuschia drive (larchfield ave),fuschia drive larchfield avenue,8460B5228701,Fuzzy Expanded Name (WRatio: 90),Fuschia Drive,59.0,90.0
74,402,Ballyloughane Rd (Op Murrough Ave Jct),37,ballyloughane rd (op murrough ave jct),ballyloughane road op murrough avenue jct,8460B5227801,Fuzzy Expanded Name (WRatio: 90),Ballyloughane Road,61.0,90.0
75,402,Ballyloughane Rd (Dairies),38,ballyloughane rd (dairies),ballyloughane road dairies,8460B5227801,Fuzzy Expanded Name (WRatio: 95),Ballyloughane Road,82.0,95.0
76,402,ATU Galway,39,atu galway,atu galway,8460B5236501,Fuzzy Expanded Name (WRatio: 90),ATU Galway Cluain Mhuire,59.0,90.0
77,402,Dublin Rd (Merlin Park Gate),40,dublin rd (merlin park gate),dublin road merlin park gate,8460B5228001,Token Overlap Match (Score: 2),Merlin Hospital Gate,,
78,402,Merlin Park Terminus (Merlin Church),41,merlin park terminus (merlin church),merlin park terminus merlin church,8460B5228201,Token Overlap Match (Score: 2),Merlin Park Hospital,,
79,404,Oranmore (Opp Oran Town Centre),0,oranmore (opp oran town centre),oranmore opposite oran town centre,8470B556161,Token Overlap Match (Score: 2),Oranmore Centre,,
80,404,Oranmore Village (Op Calacanctius Col),1,oranmore village (op calacanctius col),oranmore village op calacanctius col,8460B5256101,Token Overlap Match (Score: 1),Corrib Village,,
81,404,Dublin Rd (Galway Clinic),2,dublin rd (galway clinic),dublin road galway clinic,8460B8884201,Fuzzy Expanded Name (WRatio: 90),Galway Clinic,68.0,90.0
82,404,Dublin Rd (Castlegar Complex),3,dublin rd (castlegar complex),dublin road castlegar complex,8460B5223701,Token Overlap Match (Score: 1),Barna Road,,
83,404,Dublin Rd (Kingsvalley Hotel),4,dublin rd (kingsvalley hotel),dublin road kingsvalley hotel,8460B5223701,Token Overlap Match (Score: 1),Barna Road,,
84,404,Dublin Rd (Opp Woodhaven),5,dublin rd (opp woodhaven),dublin road opposite woodhaven,8460B5228301,Fuzzy Expanded Name (WRatio: 90),Woodhaven,46.0,90.0
85,404,ATU Galway,6,atu galway,atu galway,8460B5236501,Fuzzy Expanded Name (WRatio: 90),ATU Galway Cluain Mhuire,59.0,90.0
86,404,Dublin Rd (Dawn Dairies),7,dublin rd (dawn dairies),dublin road dawn dairies,8460B5227901,Fuzzy Expanded Name (WRatio: 90),Dawn Dairies,67.0,90.0
87,404,Dublin Rd (Opp Glenina Hgts),8,dublin rd (opp glenina hgts),dublin road opposite glenina hgts,8460B5223701,Token Overlap Match (Score: 1),Barna Road,,
88,404,Dublin Rd (Woodlands),9,dublin rd (woodlands),dublin road woodlands,8460B5223701,Token Overlap Match (Score: 1),Barna Road,,
